Code;Nom;Quantite;unite;achat;vente;?;demande
E030;Brioche;100.0;carton;NA;14.0;p;300
E031;Brioche beurre;190.0;carton;NA;16.0;p;100
E032;Pain chocolat A;190.0;carton;NA;14.0;p;50
E033;Pain chocolat B;190.0;carton;NA;12.0;p;75
E034;Biscuit marque A;163.0;carton;NA;8.0;p;400
E035;Biscuit marque B et C;172.0;carton;NA;7.0;p;750
E036;Pate crepes;223.0;litre;5.77579628039264;NA;cb;0
E037;Crepes natures;145.0;carton;NA;7.0;p;175
E038;Crepes fourrees choc;145.0;carton;NA;9.0;p;100
E039;Crepes fourres abricot;145.0;carton;NA;8.0;p;75
E020;Chocolat 40§;84.0;litre;6.250979729227112;10.0;cl;0
E021;Chocolat 50§;363.0;litre;12.63731998715415;16.0;cl;0
E022;Pate biscuit Q1;4042.0;litre;15.267490485924057;NA;clr;0
E023;Pate biscuit Q2;108.0;litre;4.0009535218092696;NA;clr;0
E024;Pate biscuit Q3;252.0;litre;1.0489159034734996;NA;clr;0
E025;Gateau marque A;1045.0;carton;NA;10.0;p;200
E026;Gateau marque B;55.0;carton;NA;8.0;p;300
E027;Gateau marque C;55.0;carton;NA;7.0;p;250
E028;Pate levée huile;973.0;kg;NA;NA;cb;0
E029;Pate levée beurre;170.0;kg;NA;NA;cb;0
E050;Madeleines Choc;55.0;carton;NA;8.0;p;100
E051;Poudre a lever;102.0;kg;19.04492997738658;NA;cp;0
E010;poudre a lever;50.0;kg;6.704187113597215;NA;p;0
E011;beurre cacao;719.0;kg;13.150966571026593;NA;p;0
E012;pate cacao;42.0;kg;11.396229825118775;NA;cp;0
E013;proteine de lait;0.0;kg;0.8944611112149943;NA;cp;0
E014;lait en poudre;536.0;kg;12.786236339695932;NA;cp;0
E015;emulsifiant;19.0;litre;13.304286129165249;NA;cl;0
E016;levure;53.0;unite;4.805753220048869;NA;cp;0
E017;confiture abricot;23.0;litre;5.577210763706764;NA;clr;0
E018;noix;23.0;kg;13.889421104655348;NA;p;0
E019;Chocolat 30§;92.0;litre;14.326956801058493;8.0;cl;0
E040;Brownies marque A;128.0;carton;NA;10.0;p;250
E041;Brownies marque B;0.0;carton;NA;8.0;p;275
E042;Cookies Choc marque A;0.0;carton;NA;9.0;p;300
E043;Cookies Choc marque B;0.0;carton;NA;8.0;p;400
E044;Cookies Choc/Noix marque A;47.0;carton;NA;9.0;p;150
E001;Sucre;7.0;kg;11.906294677968788;NA;cp;0
E045;Cookies Choc/Noix marque B;18.0;carton;NA;8.0;p;300
E002;farine;3210.0;kg;18.42419758680984;NA;cp;0
E046;Pate Madeleines Q1;81.0;litre;NA;NA;cb;0
E003;farine complete;0.0;kg;15.794099904036578;NA;cp;0
E047;Pate Madeleines Q2;117.0;litre;NA;NA;cb;0
E004;blanc oeuf;218.0;litre;15.029614582240036;NA;cl;0
E048;Madeleines marque A;45.0;carton;NA;8.0;p;200
E005;jaune oeuf;346.0;litre;3.598121388748088;NA;cl;0
E049;Madeleines marque B;45.0;carton;NA;7.0;p;150
E006;beurre;2428.0;kg;15.838388442915818;NA;pr;0
E007;margarine;0.0;kg;10.826686810732127;NA;pr;0
E008;huile palme;4379.0;litre;18.95430467610089;NA;p;0
E009;huile colza;1419.0;litre;6.652998364629227;NA;p;0
